"pair","type","cosine_similarity","prompt_similarity"
"paradise-father","unrelated",0.252662862353551,0.1
"spring-autumn","related",0.463682794462271,0.8
"fidelity-devotion","related",0.55920406193121,0.85
"bridge-tunnel","related",0.449585366855579,0.552
"excellent-band","unrelated",0.237818029869678,0.143
"embassy-ministry","related",0.419068858342581,0.687
"blanket-justice","unrelated",0.2104502374626,0.05
"stadium-baseball","related",0.366958116495934,0.742
"tattoo-minus","unrelated",0.178231430706687,0
"tobacco-cigarette","related",0.621064200776838,0.9
"train-triangle","unrelated",0.37663933526493,0.105
"lower-dusty","unrelated",0.241920753716069,0
"reality-tree","unrelated",0.257263077489497,0
"unreasonable-irresponsible","related",0.46943612778012,0.675
"millionaire-element","unrelated",0.22612681860622,0.1
"worm-snake","related",0.554926027583093,0.645
"double-triple","related",0.560368187900196,0.8
"article-newspaper","related",0.462952334172882,0.75
"wind-storm","related",0.54222826998574,0.825
"tablet-fuel","unrelated",0.289113954287798,0.1
"sunset-thank","unrelated",0.296756267542844,0
"queen-soda","unrelated",0.181347082754232,0.05
"detonator-timer","related",0.35943523514593,0.712
"make-servant","unrelated",0.270890020529359,0.112
"object-comedy","unrelated",0.292913732016012,0.112
"direct-jewel","unrelated",0.209178061407864,0.089
"modern-plate","unrelated",0.236631398569943,0.114
"heritage-july","unrelated",0.182819118824927,0.112
"auction-theory","unrelated",0.266839654290961,0.133
"conclusion-assumption","related",0.426717574169354,0.682
"conversation-forest","unrelated",0.330261667149165,0.05
"singer-musician","related",0.653420401325092,0.9
"nice-judge","unrelated",0.273044169265399,0.2
"angel-baseball","unrelated",0.205863596920922,0.05
"stress-cat","unrelated",0.231010360704263,0.05
"impressive-murder","unrelated",0.207994961168656,0
"inability-missile","unrelated",0.182382299295066,0
"low-confess","unrelated",0.205136442398103,0
"bay-loan","unrelated",0.279035241450895,0.1
"pork-departure","unrelated",0.228701403811181,0
"cable-confusion","unrelated",0.190133257510191,0.1
"ass-official","unrelated",0.370577038441451,0.05
"dvd-that","unrelated",0.265557743995159,0
"brutal-cruel","related",0.627091714318385,0.9
"protect-defend","related",0.595991202965775,0.85
"sensational-maintain","unrelated",0.100246538335553,0
"allow-let","related",0.599735147848325,0.9
"midnight-send","unrelated",0.220829700321183,0
"hunting-collapse","unrelated",0.27552860960063,0.1
"circle-lovely","unrelated",0.328497992164934,0
"monk-elegant","unrelated",0.238673457564788,0.112
"quantity-quality","related",0.50122141337881,0.5
"prey-ugly","unrelated",0.228003300832305,0
"hobby-sport","related",0.479035005215665,0.75
"underestimate-microphone","unrelated",0.184962863621327,0
"urgent-emergency","related",0.672996606154749,0.9
"command-order","related",0.620745362132304,0.765
"original-copy","related",0.423092360039163,0.8
"clan-family","related",0.457388941537351,0.8
"diamond-jewel","related",0.535569966374542,0.9
"property-owner","related",0.515957380649603,0.8
"scare-weak","unrelated",0.315344785810438,0.2
"medical-psychological","related",0.36180079252624,0.654
"avenue-street","related",0.50523645139997,0.9
"grateful-thank","related",0.513049007313133,0.75
"impossible-easy","related",0.407214459220293,0
"clean-wash","related",0.578018838226877,0.8
"trust-believe","related",0.493202785696841,0.754
"unusual-strange","related",0.722930779237327,0.823
"loyalty-honesty","related",0.493762008405116,0.654
"producer-director","related",0.652880351716736,0.8
"anonymous-unknown","related",0.648138280939177,0.833
"lipstick-concentrate","unrelated",0.187592170526371,0.103
"good-completely","unrelated",0.291592332615735,0
"royal-price","unrelated",0.294375936197187,0.5
"tired-hungry","related",0.482975711151747,0.205
"similar-different","related",0.652089203327798,0.125
"spy-traitor","related",0.416662896644608,0.754
"grab-science","unrelated",0.222305579248051,0.1
"make-do","related",0.571449144886223,0.5
"drown-wizard","unrelated",0.17602329333363,0
"tournament-pull","unrelated",0.311460730504703,0.112
"bee-remove","unrelated",0.228184142110024,0
"credit-funeral","unrelated",0.18021646696729,0.05
"mile-centimeter","related",0.389268852622344,0.8
"internal-external","related",0.748141189400086,0.3
"nerve-silver","unrelated",0.175033855663741,0.1
"rum-far","unrelated",0.361338656044383,0
"autograph-photographer","related",0.294698438217436,0.276
"unusual-kill","unrelated",0.308460600857914,0.15
"monument-statue","related",0.702730956271538,0.8
"contain-content","related",0.525493633811154,0.5
"wrong-event","unrelated",0.368441554256936,0.13
"white-driver","unrelated",0.285940904121348,0.112
"sensor-crisis","unrelated",0.222284586747187,0.1
"dramatic-romantic","related",0.463698623413635,0.678
"conference-meeting","related",0.775195786762225,0.85
"enable-provide","related",0.603672315969774,0.796
"generator-execution","unrelated",0.395349820550134,0.22
"relative-cousin","related",0.485799420066059,0.8
"passenger-sound","unrelated",0.238504915384048,0.025
"pork-meat","related",0.497340700424583,0.9
"apply-use","related",0.611659779075828,0.8
"deserve-worthy","related",0.478434736801005,0.75
"polite-escape","unrelated",0.247955769483763,0
"regional-local","related",0.552949502814926,0.75
"trophy-abduct","unrelated",0.203327381168926,0
"chance-dynamite","unrelated",0.26731804257391,0.1
"tear-cut","related",0.390941166892196,0.3
"tower-building","related",0.491503321619937,0.867
"revenge-cotton","unrelated",0.109732556984482,0
"eliminate-worker","unrelated",0.224250682193241,0
"drama-comedy","related",0.613059008641992,0.8
"ideal-song","unrelated",0.218879966147547,0.142
"orchestra-band","related",0.426585988954925,0.85
"pulse-pressure","related",0.613496218553076,0.654
"carnival-worthy","unrelated",0.269170472256106,0.112
"virus-infection","related",0.53377617387818,0.85
"comfortable-horse","unrelated",0.240098748612479,0.125
"potato-guilty","unrelated",0.23979408153812,0
"regional-cake","unrelated",0.141581441690023,0.112
"orphanage-cause","unrelated",0.233876462857683,0.214
"illusion-additional","unrelated",0.256553829677301,0.1
"observation-throne","unrelated",0.283455623712369,0.112
"country-description","unrelated",0.311864250536133,0.212
"play-fax","unrelated",0.239691032604458,0.112
"sea-episode","unrelated",0.346137716316267,0.112
"donkey-horse","related",0.545616721943068,0.8
"hanging-execution","related",0.332075634263479,0.875
"innocent-express","unrelated",0.220936405099328,0.134
"spoon-intention","unrelated",0.228349206329857,0
"one-three","related",0.612569569028531,0.112
"hurricane-disturb","unrelated",0.329331621666792,0
"buy-meeting","unrelated",0.284553789857462,0.175
"private-rat","unrelated",0.392636888616658,0.03
"gas-fuel","related",0.614366318847555,0.85
"dynasty-empire","related",0.546528815699777,0.764
"sometimes-often","related",0.68809926630319,0.8
"firmly-emotional","unrelated",0.272493351617625,0.075
"flee-escape","related",0.519973390934805,0.912
"support-sail","unrelated",0.303878282144981,0.112
"heat-corporation","unrelated",0.136309964785218,0.1
"forgiveness-mercy","related",0.511236703991824,0.9
"naturally-billion","unrelated",0.270350873792903,0
"exit-entrance","related",0.476739362052853,0.8
"library-cheap","unrelated",0.332581950573746,0.112
"short-massage","unrelated",0.215454174027376,0.112
