"pair","type","cosine_similarity","prompt_similarity"
"paradise-father","unrelated",0.252678520095234,0.2
"spring-autumn","related",0.463682794462271,0.742
"fidelity-devotion","related",0.55920406193121,0.872
"bridge-tunnel","related",0.449585366855579,0.764
"excellent-band","unrelated",0.237881057374037,0.125
"embassy-ministry","related",0.418993989263789,0.742
"blanket-justice","unrelated",0.2104502374626,0.1
"stadium-baseball","related",0.36697741265404,0.832
"tattoo-minus","unrelated",0.178320617440485,0.05
"tobacco-cigarette","related",0.621064200776838,0.95
"train-triangle","unrelated",0.376547694174328,0.135
"lower-dusty","unrelated",0.241989211662734,0.045
"reality-tree","unrelated",0.257263077489497,0.125
"unreasonable-irresponsible","related",0.469505552394267,0.652
"millionaire-element","unrelated",0.226100462100103,0.124
"worm-snake","related",0.5549614788566,0.724
"double-triple","related",0.560348062516011,0.725
"article-newspaper","related",0.462984379446258,0.785
"wind-storm","related",0.54222826998574,0.85
"tablet-fuel","unrelated",0.289113954287798,0.112
"sunset-thank","unrelated",0.296774432053856,0.1
"queen-soda","unrelated",0.181347082754232,0.05
"detonator-timer","related",0.35943523514593,0.742
"make-servant","unrelated",0.270821170451541,0.234
"object-comedy","unrelated",0.292913732016012,0.15
"direct-jewel","unrelated",0.209225954327787,0.1
"modern-plate","unrelated",0.236631398569943,0.245
"heritage-july","unrelated",0.182924396232278,0.103
"auction-theory","unrelated",0.266949142719766,0.175
"conclusion-assumption","related",0.426681943498861,0.675
"conversation-forest","unrelated",0.330261667149165,0.12
"singer-musician","related",0.653420401325092,0.91
"nice-judge","unrelated",0.273005047991405,0.345
"angel-baseball","unrelated",0.205864253308766,0.05
"stress-cat","unrelated",0.231010360704263,0.125
"impressive-murder","unrelated",0.207994961168656,0.045
"inability-missile","unrelated",0.182382299295066,0.045
"low-confess","unrelated",0.205116220386211,0.1
"bay-loan","unrelated",0.279035241450895,0.11
"pork-departure","unrelated",0.228701403811181,0.045
"cable-confusion","unrelated",0.190133257510191,0.1
"ass-official","unrelated",0.370577038441451,0.05
"dvd-that","unrelated",0.265579921830113,0.05
"brutal-cruel","related",0.627091714318385,0.786
"protect-defend","related",0.595991202965775,0.867
"sensational-maintain","unrelated",0.100274723657805,0.214
"allow-let","related",0.599634746554142,0.879
"midnight-send","unrelated",0.220829700321183,0.15
"hunting-collapse","unrelated",0.275565417305408,0.12
"circle-lovely","unrelated",0.328497992164934,0.15
"monk-elegant","unrelated",0.238673457564788,0.132
"quantity-quality","related",0.501219217834073,0.756
"prey-ugly","unrelated",0.228003300832305,0.05
"hobby-sport","related",0.479035005215665,0.754
"underestimate-microphone","unrelated",0.185010875606217,0.05
"urgent-emergency","related",0.673033099114954,0.875
"command-order","related",0.621855533654149,0.842
"original-copy","related",0.423115403091694,0.794
"clan-family","related",0.457589745724193,0.845
"diamond-jewel","related",0.535569110696178,0.879
"property-owner","related",0.515957380649603,0.823
"scare-weak","unrelated",0.315452451289913,0.223
"medical-psychological","related",0.36174006794181,0.754
"avenue-street","related",0.505219977966657,0.921
"grateful-thank","related",0.513002997041056,0.785
"impossible-easy","related",0.407181623875372,0.002
"clean-wash","related",0.578078132440083,0.857
"trust-believe","related",0.493202785696841,0.826
"unusual-strange","related",0.722896638150382,0.875
"loyalty-honesty","related",0.493762008405116,0.742
"producer-director","related",0.652925605719896,0.845
"anonymous-unknown","related",0.648138280939177,0.762
"lipstick-concentrate","unrelated",0.187565305666451,0.1
"good-completely","unrelated",0.291579080296069,0.092
"royal-price","unrelated",0.294308359518879,0.312
"tired-hungry","related",0.482957506121771,0.582
"similar-different","related",0.652089203327798,0.21
"spy-traitor","related",0.416662896644608,0.738
"grab-science","unrelated",0.222305579248051,0.134
"make-do","related",0.571449144886223,0.812
"drown-wizard","unrelated",0.176026656820525,0.045
"tournament-pull","unrelated",0.311460730504703,0.156
"bee-remove","unrelated",0.228161583651802,0.1
"credit-funeral","unrelated",0.180188922446856,0.1
"mile-centimeter","related",0.389274812650373,0.854
"internal-external","related",0.748152435121281,0.754
"nerve-silver","unrelated",0.175031929604428,0.12
"rum-far","unrelated",0.361338656044383,0.1
"autograph-photographer","related",0.294658161510537,0.675
"unusual-kill","unrelated",0.308510448096194,0.087
"monument-statue","related",0.702732227065872,0.812
"contain-content","related",0.525404332166149,0.842
"wrong-event","unrelated",0.368441554256936,0.325
"white-driver","unrelated",0.285940904121348,0.2
"sensor-crisis","unrelated",0.222297820827486,0.205
"dramatic-romantic","related",0.463616688308196,0.762
"conference-meeting","related",0.775195786762225,0.845
"enable-provide","related",0.603701464722985,0.675
"generator-execution","unrelated",0.395271801292167,0.267
"relative-cousin","related",0.485799420066059,0.85
"passenger-sound","unrelated",0.238504915384048,0.235
"pork-meat","related",0.497340700424583,0.875
"apply-use","related",0.611597173290163,0.742
"deserve-worthy","related",0.478494891685956,0.783
"polite-escape","unrelated",0.247955769483763,0.12
"regional-local","related",0.552949502814926,0.765
"trophy-abduct","unrelated",0.203327381168926,0.025
"chance-dynamite","unrelated",0.26731804257391,0.204
"tear-cut","related",0.390941166892196,0.586
